1.597,0.038
1.597,0.038
1.597,0.038
1.597,0.038
1.597,0.038
1.597,0.038
1.597,0.038
1.596,0.039
1.596,0.039
1.633,0.036
1.633,0.036
1.620,0.034
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.589,0.039
1.577,0.040
1.591,0.038
1.591,0.038
1.591,0.038
1.591,0.038
1.593,0.038
1.593,0.038
1.593,0.038
1.614,0.037
1.644,0.034
1.644,0.034
1.543,0.045
1.575,0.040
1.575,0.040
1.575,0.040
1.575,0.040
1.575,0.040
1.575,0.040
1.575,0.040
1.600,0.039
1.600,0.039
1.600,0.039
1.600,0.039
1.571,0.041
1.628,0.035
1.628,0.035
1.592,0.038
1.592,0.038
1.592,0.038
1.587,0.040
1.625,0.034
1.625,0.034
1.569,0.040
1.569,0.040
1.569,0.040
1.569,0.040
1.569,0.040
1.569,0.040
1.569,0.040
1.569,0.040
1.569,0.040
1.569,0.040
1.634,0.035
1.634,0.035
1.612,0.036
1.612,0.036
1.612,0.036
1.612,0.036
1.612,0.036
1.609,0.036
1.607,0.035
1.574,0.040
1.574,0.040
1.574,0.040
1.574,0.040
1.574,0.040
1.574,0.040
1.604,0.035
1.564,0.043
1.564,0.043
1.564,0.043
1.632,0.036
1.610,0.037
1.610,0.037
1.610,0.037
1.610,0.037
1.605,0.038
1.593,0.036
1.593,0.036
1.545,0.045
1.545,0.045
1.545,0.045
1.545,0.045
1.545,0.045
1.545,0.045
1.545,0.045
1.545,0.045
1.545,0.045
1.546,0.043
1.546,0.043
1.546,0.043
1.546,0.043
1.546,0.043
1.608,0.036
1.608,0.036
1.608,0.036
1.566,0.040
1.566,0.040
1.612,0.035
1.612,0.035
1.624,0.036
1.555,0.043
1.555,0.043
1.567,0.043
1.578,0.040
1.578,0.040
1.578,0.040
1.621,0.036
1.621,0.036
1.621,0.036
1.615,0.035
1.615,0.035
1.615,0.035
1.627,0.035
1.540,0.043
1.540,0.043
1.540,0.043
1.566,0.043
1.566,0.043
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.614,0.037
1.545,0.044
1.545,0.044
1.545,0.044
1.545,0.044
1.583,0.040
1.583,0.040
1.583,0.040
1.583,0.040
1.583,0.040
1.583,0.040
1.583,0.040
1.601,0.037
1.601,0.037
1.601,0.037
1.601,0.037
1.601,0.037
1.601,0.037
1.601,0.037
1.589,0.037
1.589,0.037
1.589,0.037
1.589,0.037
1.589,0.037
1.590,0.037
1.590,0.037
1.590,0.037
1.590,0.037
1.563,0.040
1.563,0.040
1.563,0.040
1.589,0.040
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.590,0.038
1.585,0.038
1.585,0.038
1.585,0.038
1.585,0.038
1.585,0.038
1.585,0.038
1.622,0.038
1.622,0.038
1.622,0.038
